Name,Team,Number,Position,Age,Height,Weight,College,Salary,
240,Chandler Parsons,Dallas Mavericks,25,SF,27,06-Oct,230,Florida,15361500
241,Dwight Powell,Dallas Mavericks,7,PF,24,06-Nov,240,Stanford,845059
242,Charlie Villanueva,Dallas Mavericks,3,PF,31,06-Nov,232,Connecticut,947276
243,Deron Williams,Dallas Mavericks,8,PG,31,06-Mar,200,Illinois,5378974
244,Trevor Ariza,Houston Rockets,1,SF,30,06-Aug,215,UCLA,8193030
245,Michael Beasley,Houston Rockets,8,SF,27,06-Oct,235,Kansas State,306527
246,Patrick Beverley,Houston Rockets,2,PG,27,06-Jan,185,Arkansas,6486486
247,Corey Brewer,Houston Rockets,33,SG,30,06-Sep,186,Florida,8229375
248,Clint Capela,Houston Rockets,15,PF,22,06-Oct,240,,1242720
249,Sam Dekker,Houston Rockets,7,SF,22,06-Sep,230,Wisconsin,1646400
250,Andrew Goudelock,Houston Rockets,0,PG,27,06-Mar,200,Charleston,200600
251,James Harden,Houston Rockets,13,SG,26,06-May,220,Arizona State,15756438
252,Montrezl Harrell,Houston Rockets,35,PF,22,06-Aug,240,Louisville,1000000
253,Dwight Howard,Houston Rockets,12,C,30,06-Nov,265,,22359364
254,Terrence Jones,Houston Rockets,6,PF,24,06-Sep,252,Kentucky,2489530
255,K.J. McDaniels,Houston Rockets,32,SG,23,06-Jun,205,Clemson,3189794
256,Donatas Motiejunas,Houston Rockets,20,PF,25,7-0,222,,2288205
257,Josh Smith,Houston Rockets,5,C,30,06-Sep,225,,947276
258,Jason Terry,Houston Rockets,31,SG,38,06-Feb,185,Arizona,947276
259,Jordan Adams,Memphis Grizzlies,3,SG,21,06-May,209,UCLA,1404600
260,Tony Allen,Memphis Grizzlies,9,SG,34,06-Apr,213,Oklahoma State,5158539
261,Chris Andersen,Memphis Grizzlies,7,PF,37,06-Oct,245,Blinn College,5000000
262,Matt Barnes,Memphis Grizzlies,22,SF,36,06-Jul,226,UCLA,3542500
263,Vince Carter,Memphis Grizzlies,15,SG,39,06-Jun,220,North Carolina,4088019
264,Mike Conley,Memphis Grizzlies,11,PG,28,06-Jan,175,Ohio State,9588426
265,Bryce Cotton,Memphis Grizzlies,8,PG,23,06-Jan,165,Providence,700902
266,Jordan Farmar,Memphis Grizzlies,4,PG,29,06-Feb,180,UCLA,
267,Marc Gasol,Memphis Grizzlies,33,C,31,07-Jan,255,,19688000
268,JaMychal Green,Memphis Grizzlies,0,PF,25,06-Sep,227,Alabama,845059
269,P.J. Hairston,Memphis Grizzlies,19,SF,23,06-Jun,230,North Carolina,1201440
270,Jarell Martin,Memphis Grizzlies,10,PF,22,06-Oct,239,LSU,1230840
271,Ray McCallum,Memphis Grizzlies,5,PG,24,06-Mar,190,Detroit,
272,Xavier Munford,Memphis Grizzlies,14,PG,24,06-Mar,180,Rhode Island,
273,Zach Randolph,Memphis Grizzlies,50,PF,34,06-Sep,260,Michigan State,9638555
274,Lance Stephenson,Memphis Grizzlies,1,SF,25,06-May,230,Cincinnati,9000000
275,Alex Stepheson,Memphis Grizzlies,35,PF,28,06-Oct,270,USC,
276,Brandan Wright,Memphis Grizzlies,34,PF,28,06-Oct,210,North Carolina,5464000
277,Alexis Ajinca,New Orleans Pelicans,42,C,28,07-Feb,248,,4389607
278,Ryan Anderson,New Orleans Pelicans,33,PF,28,06-Oct,240,California,8500000
279,Omer Asik,New Orleans Pelicans,3,C,29,7-0,255,,9213483
280,Luke Babbitt,New Orleans Pelicans,8,SF,26,06-Sep,225,Nevada,1100602
281,Norris Cole,New Orleans Pelicans,30,PG,27,06-Feb,175,Cleveland State,3036927
282,Dante Cunningham,New Orleans Pelicans,44,PF,29,06-Aug,230,Villanova,2850000
283,Anthony Davis,New Orleans Pelicans,23,PF,23,06-Oct,253,Kentucky,7070730
284,Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,06-Jun,203,Iowa State,169883
285,Toney Douglas,New Orleans Pelicans,16,PG,30,06-Feb,195,Florida State,1164858
286,James Ennis,New Orleans Pelicans,4,SF,25,06-Jul,210,Long Beach State,845059
287,Tyreke Evans,New Orleans Pelicans,1,SG,26,06-Jun,220,Memphis,10734586
288,Tim Frazier,New Orleans Pelicans,2,PG,25,06-Jan,170,Penn State,845059
289,Alonzo Gee,New Orleans Pelicans,15,SF,29,06-Jun,225,Alabama,1320000
290,Eric Gordon,New Orleans Pelicans,10,SG,27,06-Apr,215,Indiana,15514031
291,Jordan Hamilton,New Orleans Pelicans,25,SG,25,06-Jul,220,Texas,1015421
292,Jrue Holiday,New Orleans Pelicans,11,PG,25,06-Apr,205,UCLA,10595507
293,Orlando Johnson,New Orleans Pelicans,0,SG,27,06-May,220,UC Santa Barbara,55722
294,Kendrick Perkins,New Orleans Pelicans,5,C,31,06-Oct,270,,947276
295,Quincy Pondexter,New Orleans Pelicans,20,SF,28,06-Jul,220,Washington,3382023
296,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,06-Nov,240,Texas,19689000
297,Kyle Anderson,San Antonio Spurs,1,SF,22,06-Sep,230,UCLA,1142880
298,Matt Bonner,San Antonio Spurs,15,C,36,06-Oct,235,Florida,947276
299,Boris Diaw,San Antonio Spurs,33,C,34,06-Aug,250,,7500000
300,Tim Duncan,San Antonio Spurs,21,C,40,06-Nov,250,Wake Forest,5250000
301,Manu Ginobili,San Antonio Spurs,20,SG,38,06-Jun,205,,2814000
302,Danny Green,San Antonio Spurs,14,SG,28,06-Jun,215,North Carolina,10000000
303,Kawhi Leonard,San Antonio Spurs,2,SF,24,06-Jul,230,San Diego State,16407500
304,Boban Marjanovic,San Antonio Spurs,40,C,27,07-Mar,290,,1200000
305,Kevin Martin,San Antonio Spurs,23,SG,33,06-Jul,199,Western Carolina,200600
306,Andre Miller,San Antonio Spurs,24,PG,40,06-Mar,200,Utah,250750
307,Patty Mills,San Antonio Spurs,8,PG,27,6-0,185,Saint Mary's,3578947
308,Tony Parker,San Antonio Spurs,9,PG,34,06-Feb,185,,13437500
309,Jonathon Simmons,San Antonio Spurs,17,SG,26,06-Jun,195,Houston,525093
310,David West,San Antonio Spurs,30,PF,35,06-Sep,250,Xavier,1499187
311,Kent Bazemore,Atlanta Hawks,24,SF,26,06-May,201,Old Dominion,2000000
312,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,06-Jun,205,Michigan,1304520
313,Kirk Hinrich,Atlanta Hawks,12,SG,35,06-Apr,190,Kansas,2854940
314,Al Horford,Atlanta Hawks,15,C,30,06-Oct,245,Florida,12000000
315,Kris Humphries,Atlanta Hawks,43,PF,31,06-Sep,235,Minnesota,1000000
316,Kyle Korver,Atlanta Hawks,26,SG,35,06-Jul,212,Creighton,5746479
317,Paul Millsap,Atlanta Hawks,4,PF,31,06-Aug,246,Louisiana Tech,18671659
318,Mike Muscala,Atlanta Hawks,31,PF,24,06-Nov,240,Bucknell,947276
319,Lamar Patterson,Atlanta Hawks,13,SG,24,06-May,225,Pittsburgh,525093
320,Dennis Schroder,Atlanta Hawks,17,PG,22,06-Jan,172,,1763400
321,Mike Scott,Atlanta Hawks,32,PF,27,06-Aug,237,Virginia,3333333
322,Thabo Sefolosha,Atlanta Hawks,25,SF,32,06-Jul,220,,4000000
323,Tiago Splitter,Atlanta Hawks,11,C,31,06-Nov,245,,9756250
324,Walter Tavares,Atlanta Hawks,22,C,24,07-Mar,260,,1000000
325,Jeff Teague,Atlanta Hawks,0,PG,27,06-Feb,186,Wake Forest,8000000
326,Nicolas Batum,Charlotte Hornets,5,SG,27,06-Aug,200,,13125306
327,Troy Daniels,Charlotte Hornets,30,SG,24,06-Apr,205,Virginia Commonwealth,947276
328,Jorge Gutierrez,Charlotte Hornets,12,PG,27,06-Mar,189,California,189455
329,Tyler Hansbrough,Charlotte Hornets,50,PF,30,06-Sep,250,North Carolina,947276
330,Aaron Harrison,Charlotte Hornets,9,SG,21,06-Jun,210,Kentucky,525093
331,Spencer Hawes,Charlotte Hornets,0,PF,28,07-Jan,245,Washington,6110034
332,Al Jefferson,Charlotte Hornets,25,C,31,06-Oct,289,,13500000
333,Frank Kaminsky III,Charlotte Hornets,44,C,23,7-0,240,Wisconsin,2612520
334,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,06-Jul,232,Kentucky,6331404
335,Jeremy Lamb,Charlotte Hornets,3,SG,24,06-May,185,Connecticut,3034356
336,Courtney Lee,Charlotte Hornets,1,SG,30,06-May,200,Western Kentucky,5675000
337,Jeremy Lin,Charlotte Hornets,7,PG,27,06-Mar,200,Harvard,2139000
338,Kemba Walker,Charlotte Hornets,15,PG,26,06-Jan,184,Connecticut,12000000
339,Marvin Williams,Charlotte Hornets,2,PF,29,06-Sep,237,North Carolina,7000000
340,Cody Zeller,Charlotte Hornets,40,C,23,7-0,240,Indiana,4204200
341,Chris Bosh,Miami Heat,1,PF,32,06-Nov,235,Georgia Tech,22192730
342,Luol Deng,Miami Heat,9,SF,31,06-Sep,220,Duke,10151612
343,Goran Dragic,Miami Heat,7,PG,30,06-Mar,190,,14783000
344,Gerald Green,Miami Heat,14,SF,30,06-Jul,205,,947276
345,Udonis Haslem,Miami Heat,40,PF,36,06-Aug,235,Florida,2854940
346,Joe Johnson,Miami Heat,2,SF,34,06-Jul,240,Arkansas,261894
347,Tyler Johnson,Miami Heat,8,SG,24,06-Apr,186,Fresno State,845059
348,Josh McRoberts,Miami Heat,4,PF,29,06-Oct,240,Duke,5543725
349,Josh Richardson,Miami Heat,0,SG,22,06-Jun,200,Tennessee,525093
350,Amar'e Stoudemire,Miami Heat,5,PF,33,06-Oct,245,,947276
351,Dwyane Wade,Miami Heat,3,SG,34,06-Apr,220,Marquette,20000000
352,Briante Weber,Miami Heat,12,PG,23,06-Feb,165,Virginia Commonwealth,
353,Hassan Whiteside,Miami Heat,21,C,26,7-0,265,Marshall,981348
354,Justise Winslow,Miami Heat,20,SF,20,06-Jul,225,Duke,2481720
355,Dorell Wright,Miami Heat,11,SF,30,06-Sep,205,,
356,Dewayne Dedmon,Orlando Magic,3,C,26,7-0,245,USC,947276
357,Evan Fournier,Orlando Magic,10,SG,23,06-Jul,205,,2288205
358,Aaron Gordon,Orlando Magic,0,PF,20,06-Sep,220,Arizona,4171680
359,Mario Hezonja,Orlando Magic,23,SG,21,06-Aug,218,,3741480
360,Ersan Ilyasova,Orlando Magic,7,PF,29,06-Oct,235,,7900000
361,Brandon Jennings,Orlando Magic,55,PG,26,06-Jan,169,,8344497
